non-conserved,conserved
osa-miR531a,osa-miR399e
osa-miR5162,osa-miR399f
osa-miR5161,osa-miR399g
osa-miR5160,osa-miR399h
osa-miR5159,osa-miR399i
osa-miR5158,osa-miR399j
osa-miR5157b-5p,osa-miR399k
osa-miR5157b-3p,osa-miR529a
osa-miR5157a-5p,osa-miR529b
osa-miR5157a-3p,osa-miR818a
osa-miR5156,osa-miR818b
osa-miR5155,osa-miR818c
osa-miR5154,osa-miR818d
osa-miR5153,osa-miR818e
osa-miR5152-5p,osa-miR827
osa-miR5152-3p,osa-miR156b-3p
osa-miR5151,osa-miR156c-3p
osa-miR5150-5p,osa-miR156f-3p
osa-miR5150-3p,osa-miR156g-3p
osa-miR5149,osa-miR156h-3p
osa-miR5148c,osa-miR156j-3p
osa-miR5148b,osa-miR156l-3p
osa-miR5148a,osa-miR160c-3p
osa-miR5147,osa-miR160d-3p
osa-miR5146,osa-miR160e-3p
osa-miR5145,osa-miR167a-3p
osa-miR5144-5p,osa-miR167c-3p
osa-miR5144-3p,osa-miR167d-3p
osa-miR5143b,osa-miR167e-3p
osa-miR5143a,osa-miR167h-3p
osa-miR5083,osa-miR167i-3p
osa-miR5082,osa-miR168a-3p
osa-miR5081,osa-miR169f.1
osa-miR5080,osa-miR169i-5p.1
osa-miR5079b,osa-miR169r-3p
osa-miR5079a,osa-miR390-3p
osa-miR5078,osa-miR393b-3p
osa-miR5077,osa-miR396a-3p
osa-miR5076,osa-miR396b-3p
osa-miR5075,osa-miR396e-3p
osa-miR5074,osa-miR396f-3p
osa-miR5073,osa-miR408-3p
osa-miR5072,osa-miR166a-3p
osa-miR5071,osa-miR166b-3p
osa-miR443,osa-miR166c-3p
osa-miR440,osa-miR166d-3p
osa-miR439i,osa-miR166g-3p
osa-miR439h,osa-miR166h-3p
osa-miR439g,osa-miR166i-3p
osa-miR439f,osa-miR166j-3p
osa-miR439e,osa-miR166k-3p
osa-miR439d,osa-miR166l-3p
osa-miR439c,osa-miR171c-3p
osa-miR439b,osa-miR171d-3p
osa-miR439a,osa-miR171e-3p
osa-miR438,osa-miR171i-3p
osa-miR435,osa-miR172d-3p
osa-miR426,osa-miR319a-3p
osa-miR419,osa-miR159a.1
osa-miR418,osa-miR160a-3p
osa-miR417,osa-miR160b-3p
osa-miR416,osa-miR160f-3p
osa-miR415,osa-miR166e-3p
osa-miR414,osa-miR171f-3p
osa-miR413,osa-miR396c-3p
osa-miR3982-5p,osa-miR530-3p
osa-miR3982-3p,osa-miR169i-3p
osa-miR3981-5p,osa-miR319a-3p.2-3p
osa-miR3981-3p,osa-miR535-5p
osa-miR3980b-5p,osa-miR535-3p
osa-miR3980b-3p,
osa-miR3980a-5p,
osa-miR3980a-3p,
osa-miR3979-5p,
osa-miR3979-3p,
osa-miR396h,
osa-miR396g,
osa-miR396d,
osa-miR2932,
osa-miR2931,
osa-miR2930,
osa-miR2929,
osa-miR2928,
osa-miR2927,
osa-miR2926,
osa-miR2925,
osa-miR2924,
osa-miR2923,
osa-miR2922,
osa-miR2921,
osa-miR2920,
osa-miR2919,
osa-miR2918,
osa-miR2907d,
osa-miR2907c,
osa-miR2907b,
osa-miR2907a,
osa-miR2905,
osa-miR2880,
osa-miR2879,
osa-miR2878-5p,
osa-miR2878-3p,
osa-miR2877,
osa-miR2876-5p,
osa-miR2876-3p,
osa-miR2875,
osa-miR2874,
osa-miR2873c,
osa-miR2873b,
osa-miR2873a,
osa-miR2872,
osa-miR2871b,
osa-miR2871a-5p,
osa-miR2871a-3p,
osa-miR2870,
osa-miR2869,
osa-miR2868,
osa-miR2867-5p,
osa-miR2867-3p,
osa-miR2866,
osa-miR2865,
osa-miR2864.2,
osa-miR2864.1,
osa-miR2863c,
osa-miR2863b,
osa-miR2863a,
osa-miR2122,
osa-miR2121b,
osa-miR2121a,
osa-miR2120,
osa-miR2106,
osa-miR2105,
osa-miR2104,
osa-miR2103,
osa-miR2102-5p,
osa-miR2102-3p,
osa-miR2101-5p,
osa-miR2101-3p,
osa-miR2100-5p,
osa-miR2100-3p,
osa-miR2099-5p,
osa-miR2099-3p,
osa-miR2098-5p,
osa-miR2098-3p,
osa-miR2097-5p,
osa-miR2097-3p,
osa-miR2096-5p,
osa-miR2096-3p,
osa-miR2095-5p,
osa-miR2095-3p,
osa-miR2094-5p,
osa-miR2094-3p,
osa-miR2093-5p,
osa-miR2093-3p,
osa-miR2092-5p,
osa-miR2092-3p,
osa-miR2091-5p,
